"x"	"y"	"z"
"1"	0.019	0.156	3
"2"	0.039	0.263	3
"3"	0.068	0.11	3
"4"	0.068	0.15	3
"5"	0.098	0.296	3
"6"	0.119	0.036	3
"7"	0.121	0.118	3
"8"	0.125	0.065	3
"9"	0.153	0.065	3
"10"	0.163	0.22	3
"11"	0.186	0.17	3
"12"	0.201	0.26	1
"13"	0.207	0.3	3
"14"	0.212	0.136	3
"15"	0.226	0.172	1
"16"	0.231	0.276	1
"17"	0.232	0.08	3
"18"	0.235	0.221	1
"19"	0.252	0.147	1
"20"	0.282	0.166	3
"21"	0.303	0.125	3
"22"	0.305	0.228	3
"23"	0.305	0.294	3
"24"	0.33	0.303	3
"25"	0.341	0.2	3
"26"	0.359	0.071	3
"27"	0.365	0.023	3
"28"	0.378	0.149	3
"29"	0.401	0.17	3
"30"	0.407	0.005	2
"31"	0.416	0.102	2
"32"	0.44	0.039	2
"33"	0.452	0.181	2
"34"	0.457	0.136	2
"35"	0.481	0.246	1
"36"	0.495	0.166	2
"37"	0.5	0.305	1
"38"	0.523	0.198	3
"39"	0.539	0.307	1
"40"	0.55	0.037	2
"41"	0.55	0.237	2
"42"	0.56	0.19	2
"43"	0.579	0.303	3
"44"	0.627	0.111	3
"45"	0.653	0.305	3
"46"	0.675	0.017	2
"47"	0.683	0.107	3
"48"	0.693	0.276	3
"49"	0.706	0.186	3
"50"	0.707	0.057	3
"51"	0.728	0.291	3
"52"	0.759	0.224	3
"53"	0.777	0.125	3
"54"	0.794	0.057	3
"55"	0.796	0.011	3
"56"	0.822	0.28	3
"57"	0.831	0.019	3
"58"	0.889	0.014	3
"59"	0.89	0.045	3
"60"	0.89	0.22	2
"61"	0.93	0.218	2
"62"	0.937	0.289	3
"63"	0.949	0.023	3
"64"	0.961	0.272	1
"65"	1	0	3
"66"	0	0.752	3
"67"	0.005	0.964	3
"68"	0.011	0.659	3
"69"	0.017	0.591	3
"70"	0.019	0.529	2
"71"	0.025	0.376	3
"72"	0.039	0.568	3
"73"	0.056	0.692	3
"74"	0.07	0.789	3
"75"	0.071	0.732	3
"76"	0.073	0.421	3
"77"	0.073	0.485	1
"78"	0.079	0.963	3
"79"	0.087	0.525	1
"80"	0.099	0.324	3
"81"	0.104	0.562	2
"82"	0.11	0.438	3
"83"	0.113	0.82	3
"84"	0.124	0.76	3
"85"	0.138	0.392	3
"86"	0.141	0.608	3
"87"	0.164	0.531	2
"88"	0.164	0.638	3
"89"	0.167	0.337	3
"90"	0.169	0.486	2
"91"	0.169	0.805	3
"92"	0.189	0.847	3
"93"	0.192	0.515	3
"94"	0.193	0.695	3
"95"	0.204	0.348	3
"96"	0.211	0.416	3
"97"	0.214	0.385	3
"98"	0.228	0.791	3
"99"	0.232	0.632	2
"100"	0.238	0.514	3
"101"	0.254	0.964	3
"102"	0.259	0.43	3
"103"	0.265	0.687	3
"104"	0.266	0.788	3
"105"	0.272	0.469	3
"106"	0.274	0.604	1
"107"	0.276	0.361	1
"108"	0.305	0.74	3
"109"	0.313	0.553	3
"110"	0.313	0.971	3
"111"	0.314	0.884	3
"112"	0.316	0.359	3
"113"	0.327	0.913	3
"114"	0.333	0.599	3
"115"	0.336	0.664	1
"116"	0.354	0.57	2
"117"	0.361	0.515	3
